Timestamp,Enter your three-letter initials here.,Choose the collector's name and culture that this recording comes from.,"Enter the filenames of all original audio files associated with this subject (i.e., the person whose vocalizations are being recorded).","Are there any additional files associated with this subject? If so, enter their filenames.",What is this subject's unique identifier?,Which of the following samples are present?,Which recording will you be using? (MS or XY),Note any exceptions when choosing MS or XY,What time of day were the samples recorded?,What is the gender of the singer/speaker?,Which of the following roles of the singer/speaker does the researcher indicate?,"Is an infant present, as specified by the researcher?",What is the gender of the infant?,What is the relationship between the subject and the infant?,What is the age of the infant (in months)?,Is the age of the infant estimated by the researcher?,"In general, did you have trouble hearing the subject's vocalizations?",Are there any of the following sounds audible in addition to the subject and the researcher?,How much of an issue was background noise in hearing the subject's vocalizations?,How loud was the subject's vocalization?,Describe any problems with the audio here.,Note any additional information provided by the researcher about these recordings.,"Notes from 2nd coder. Please format notes with the sample name, description of notes, and your personal three letter identifier (e.g. ""WEL01A: Clipped out 1 second at the end to remove researcher's voice. CMB; WEL01C: Removed 2 seconds of silence from the beginning of the clip. CMB"")"
2/12/2018 13:52:18,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR020XY, TOP_SR020MS",,TOP03,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:15:00 AM,Female,Mother,Yes,Not specified,Not specified,8,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song. ,
2/12/2018 14:02:32,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR021XY, TOP_SR021MS",,TOP04,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:20:00 AM,Female,Mother,Yes,Male,Not specified,7,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
2/12/2018 14:14:07,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR025XY, TOP_SR025MS",,TOP05,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,10:41:00 AM,Female,Mother,Yes,Male,Mother of infant,6,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The singer was swinging the child when talking to it. The adult-directed song is a prayer song.,
2/12/2018 14:26:39,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR029XY, TOP_SR029MS",,TOP06,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,14,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
2/12/2018 14:37:20,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR032XY, TOP_SR032MS",,TOP07,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:18:00 AM,Female,Mother,Yes,Female,Not specified,24,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a dancing song.,
2/12/2018 14:48:23,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR040XY, TOP_SR040MS",,TOP08,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Male,Not specified,12,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,"The adult-directed song is a ""song for playing"".",
2/13/2018 17:08:28,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR046XY, TOP_SR046MS",,TOP09,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:01:00 AM,Female,Mother,Yes,Male,Mother of infant,24,Yes,No,Child or children,2,5,,,
2/13/2018 17:18:20,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR047XY, TOP_SR047MS",,TOP10,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:08:00 AM,Female,Mother,Yes,Male,Not specified,9,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,The adult-directed song is a playing song. ,
2/13/2018 17:28:56,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR048XY, TOP_SR048MS",,TOP11,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:12:00 AM,Female,Mother,Yes,Not specified,Not specified,3,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
2/13/2018 17:38:02,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR050XY, TOP_SR050MS",,TOP12,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,11:23:00 AM,Female,Mother,Yes,Not specified,Not specified,11,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,5,,"The adult-directed song is ""for happiness"", clarified as ""for ceremonies"".",
2/13/2018 17:47:43,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR055XY, TOP_SR055MS",,TOP13,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,8:00:00 AM,Female,Mother,Yes,Not specified,Not specified,8,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
2/13/2018 17:57:22,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR066XY, TOP_SR066MS",,TOP14,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Male,Mother of infant,12,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
2/13/2018 18:08:15,ERA,Glowacki - Toposa (Ethiopia),"TOP_SR067XY, TOP_SR067MS",,TOP15,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Not specified,Mother of infant,5,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,,
1/31/2018 13:44:29,CMB,Martin - Urban Wellington (New Zealand),"S01_MS.WAV, S01.XY.WAV",Average Age Worksheet_170825.xlsx,WEL01,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,Parent,Yes,Male,Parent of infant,15,No,No,"Infant(s), Toys",2,4,,2 infants present (same age),
1/31/2018 13:58:55,CMB,Martin - Urban Wellington (New Zealand),"S03_MS.WAV, S03_XY.WAV","Average Age Worksheet_170825.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL02,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,Parent,Yes,Male,Parent of infant,16,No,No,"Infant(s), Toys",3,4,,Subject describes adult song type as good for a pub sing-a-long.,
1/31/2018 14:22:56,CMB,Martin - Urban Wellington (New Zealand),"S04_MS.WAV, S04_XY.WAV",Average Age Worksheet_170825.xlsx,WEL03,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,Parent of infant,Yes,Female,Parent of infant,17,No,No,"Infant(s), Child or children, Toys",3,2,A fair amount of noise at the start of adult-directed speech,Adult song is described as from subject's early teens and being sung in her other daughter's school,
1/31/2018 15:27:49,CMB,Martin - Urban Wellington (New Zealand),"S05_MS.WAV, S05_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL04,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,Parent,Yes,Female,Parent of infant,17,No,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",2,3,,"Adult-directed song is described by subject as a ""pub anthem""",
1/31/2018 15:55:09,CMB,Martin - Urban Wellington (New Zealand),"S06_MS.WAV, S06_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL05,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Mother,Yes,Male,Mother of infant,15,No,No,Infant(s),2,3,,"Adult-directed song described by subject as ""pop-rock""",
2/1/2018 11:12:38,DWL,Martin - Urban Wellington (New Zealand),"S07_MS.WAV, S07_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL06,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,17,Yes,No,Infant(s),2,5,,Adult-directed song is a Christmas carol,
2/1/2018 12:08:58,DWL,Martin - Urban Wellington (New Zealand),"S08_MS.WAV, S08_XY.WAV","VUWBABYLAB_IDSong_Comments171027MB.docx, Average Age Worksheet_171027LA.xlsx",WEL07,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,Mother,Yes,Female,Mother of infant,5,Yes,No,"Infant(s), Adult(s)",3,2,,"Adult-directed song is described by subject as a ""rock anthem."" Researcher indicated recording took place when infant was upset.  ",
2/1/2018 12:18:05,DWL,Martin - Urban Wellington (New Zealand),"S09_MS.WAV, S09_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL08,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Male,Mother of infant,14,Yes,No,Infant(s),2,4,,,
2/2/2018 15:29:44,DWL,Martin - Urban Wellington (New Zealand),"S10_MS.WAV, S10_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL09,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,Grandmother,Yes,Male,Grandmother of infant,14,Yes,No,Infant(s),2,3,The end of WEL09C has a mic tap just as the subject finishes singing. The mic noise was kept in and so the subclip ends slightly after the subject has finished singing.,"Adult-directed song is described by subject as a ""song my father used to sing to me.""",
2/2/2018 15:45:32,DWL,Martin - Urban Wellington (New Zealand),"S11_MS.WAV, S11_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL10,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,6,Yes,No,"Outdoor sounds (e.g. birds, trees rustling)",4,3,WEL10B subclip was only portion of subject singing due to researcher interjections of laughter,"Adult-directed song is described by subject as a ""ballad"" and ""religious folk.""",
2/2/2018 16:02:21,DWL,Martin - Urban Wellington (New Zealand),"S12_MS.WAV, S12_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL11,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,6,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,4,,WEL11C Adult-directed song is sung in Maori whereas rest of speech and song is in English,
2/2/2018 16:16:49,DWL,Martin - Urban Wellington (New Zealand),"S13_MS.WAV, S13_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL12,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,16,Yes,No,"Infant(s), Adult(s)",2,3,,,
2/2/2018 16:31:29,DWL,Martin - Urban Wellington (New Zealand),"S14_MS.WAV, S14_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL13,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,16,Yes,Yes,"Infant(s), Adult(s), Car alarm going off outside",4,2,"During infant-directed speech, infant was so upset that infant was passed to mother who was nearby. Car alarm was also sounding at the same time.","Adult-directed song is described by subject as a ""protest song to get people to vote""",
2/2/2018 16:45:41,DWL,Martin - Urban Wellington (New Zealand),"S15_MS.WAV, S15_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL14,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,16,Yes,No,Infant(s),2,4,"Mic moved at just at the end of adult-directed speech WEL14D, I included the entire mic noise so there is a slight delay between end of speech and end of the clip.","""Ss started trailing off towards the end of adult sample and started directing towards baby in last sec of recording (noticeably different than first ¾ of sample - it is a longer sample so potentially okay)"" Stated in VUVBABTYLAB document, I cut before the noticeable change.",
2/8/2018 10:36:37,DWL,Martin - Urban Wellington (New Zealand),"S16_MS.WAV, S16_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL15,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,15,Yes,No,"Infant(s), Adult(s), Clicking / grinding noises from infant toy",4,4, Substantial amount of background noise toward end of adult-directed song,"Subject described adult-directed song as ""Christmas classic""",
2/8/2018 10:58:36,DWL,Martin - Urban Wellington (New Zealand),"S17_MS.WAV, S17_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL16,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Female,Not specified,9,Yes,Yes,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",4,2,"Background laughing, substantial noise from infant toy, subject was very soft when speaking and singing.","Subject described adult-directed song as ""Beatles love song. Researcher noted that ""AD song is the French-ish Beatles song so without the French chorus then sample might not be 15s.""",
2/8/2018 11:14:25,DWL,Martin - Urban Wellington (New Zealand),"S18_MS.WAV, S18_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL17,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,2,,"Subject describes adult-directed song as ""one I would actually sing to if it came on the radio.""",
2/8/2018 11:54:32,DWL,Martin - Urban Wellington (New Zealand),"S19_MS.WAV, S19_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL18,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,,Yes,Male,Mother of infant,8,Yes,No,"Infant(s), Adult(s)",2,5,,"Subject described adult-directed song as a ""happy song.""",WEL18A: had a loud scream in the end which I cut out. ERA
2/8/2018 12:15:39,DWL,Martin - Urban Wellington (New Zealand),"S20_MS.WAV, S20_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL19,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,8,Yes,Yes,"Infant(s), Adult(s)",4,1,The samples are all in German. Infant lets out a deafening scream during the infant-directed song. The wife interjects adult-directed speech by laughing.,Infant is the same as in WEL18.,
2/9/2018 12:43:35,DWL,Martin - Urban Wellington (New Zealand),"S21_MS.WAV, S21_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL20,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Female,,Yes,Female,Not specified,14,Yes,No,Infant(s),1,4,"WEL20C ends just as infant wails, cuts off awkwardly.",Adult-directed song described by subject as a song about heritage.,
2/9/2018 12:57:36,DWL,Martin - Urban Wellington (New Zealand),"S22_MS.WAV, S22_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL21,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,Parent (gender unspecified),Yes,Male,Parent of infant (gender unspecified),16,Yes,No,Infant(s),2,4,,"Adult-directed song described by subject that it ""feels like a child song anyway.""",
2/9/2018 13:08:06,DWL,Martin - Urban Wellington (New Zealand),"S23_MS.WAV, S23_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL22,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,15,Yes,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",3,3,,"Subject described adult-directed song as a ""romantic song.""",
2/9/2018 13:23:22,DWL,Martin - Urban Wellington (New Zealand),"S24_MS.WAV, S24_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL23,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Mic taps",3,2,,"Subject described adult-directed song as ""upbeat.""","WEL23D: had the researcher's voice in the end, which I cut out. ERA"
2/9/2018 13:42:03,DWL,Martin - Urban Wellington (New Zealand),"S25_MS.WAV, S25_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL24,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Not specified,Not specified,16,Yes,No,Infant(s),2,4,,"Subject described adult-directed song as a ""run around the room song.""",
2/9/2018 14:00:04,DWL,Martin - Urban Wellington (New Zealand),"S26_Pt1_MS.WAV, S26_Pt1_XY.WAV, S26_Pt2_MS.WAV, S26_Pt2_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL25,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,6,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,2,WEL25A is from S26_Pt1_MS.WAV and WEL25B-D are from S26_Pt2_MS.WAV,"Researcher noted that ""Baby ripped microphone down so recording is in 2 parts. 2 samples of ID speech because baby was upset when microphone taken back and had to be comforted.""",
2/9/2018 14:40:27,DWL,Martin - Urban Wellington (New Zealand),"S27_MS.WAV, S27_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL26,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,6,Yes,Yes,"Infant(s), Child or children, Indoor sounds (e.g. running appliances, echoes that indicate a large room)",4,2,There a washing-machine / rubbing sound in the background of the audio that makes part of the infant-directed song almost inaudible. ,"Researcher noted ""Ss sang ""Row Row Row Your Boat"" as AD song but did not direct it to infant. Ss chose it because they ""felt it was a kid song not a baby"""".",
2/9/2018 14:47:49,DWL,Martin - Urban Wellington (New Zealand),"S28_MS.WAV, S28_XY.WAV","Average Age Worksheet_171027LA.xlsx, VUWBABYLAB_IDSong_Comments171027MB.docx",WEL27,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Male,Not specified,14,Yes,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",2,4,,"Subject described adult-directed song as a ""ballad.""",
2/9/2018 14:57:55,DWL,Martin - Urban Wellington (New Zealand),"S29_MS.WAV, S29_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL28,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,14,Yes,No,"Infant(s), Indoor sounds (e.g. running appliances, echoes that indicate a large room)",1,4,,"Subject described adult-directed song as ""worship song we sing at church.""",
2/9/2018 15:11:12,DWL,Martin - Urban Wellington (New Zealand),"S30_MS.WAV, S30_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL29,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",MS,,,Not specified,,Yes,Male,Not specified,9,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",2,3,,"Subject describes adult-directed song as ""folk-rock.""",
2/9/2018 15:32:19,DWL,Martin - Urban Wellington (New Zealand),"S31_MS.WAV, S31_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL30,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Not specified,,Yes,Female,Not specified,6,Yes,No,"Infant(s), Outdoor sounds (e.g. birds, trees rustling)",1,3,,"Subject described adult-directed song as a ""Christmas carol"".",
2/9/2018 15:43:30,DWL,Martin - Urban Wellington (New Zealand),"S32_MS.WAV, S32_XY.WAV",Average Age Worksheet_171027LA.xlsx,WEL31,"Infant-directed song, Infant-directed speech, Adult-directed song, Adult-directed speech",XY,,,Female,Mother,Yes,Female,Mother of infant,15,Yes,No,"Infant(s), Adult(s), Outdoor sounds (e.g. birds, trees rustling)",2,3,,"Subject described adult-directed song as a ""lullaby.""","WEL31D: had a baby scream in the end, which I cut out. ERA"
